title,abstract,year
heuristic search when time matters,"in many applications of shortest-path algorithms, it is impractical to find a provably optimal solution; one can only hope to achieve an appropriate balance between search time and solution cost that respects the user's preferences. preferences come in many forms; we consider utility functions that linearly trade-off search time and solution cost. many natural utility functions can be expressed in this form. for example, when solution cost represents the makespan of a plan, equally weighting search time and plan makespan minimizes the time from the arrival of a goal until it is achieved. current state-of-the-art approaches to optimizing utility functions rely on anytime algorithms, and the use of extensive training data to compute a termination policy. we propose a more direct approach, called bugsy, that incorporates the utility function directly into the search, obviating the need for a separate termination policy. we describe a new method based on off-line parameter tuning and a novel benchmark domain for planning under time pressure based on platform-style video games. we then present what we believe to be the first empirical study of applying anytime monitoring to heuristic search, and we compare it with our proposals. our results suggest that the parameter tuning technique can give the best performance if a representative set of training instances is available. if not, then bugsy is the algorithm of choice, as it performs well and does not require any off-line training. this work extends the tradition of research on metareasoning for search by illustrating the benefits of embedding lightweight reasoning about time into the search algorithm itself.",2013
acyclicity notions for existential rules and their application to query answering in ontologies,"answering conjunctive queries (cqs) over a set of facts extended with existential rules is a prominent problem in knowledge representation and databases. this problem can be solved using the chase algorithm, which extends the given set of facts with fresh facts in order to satisfy the rules. if the chase terminates, then cqs can be evaluated directly in the resulting set of facts. the chase, however, does not terminate necessarily, and checking whether the chase terminates on a given set of rules and facts is undecidable. numerous acyclicity notions were proposed as sufficient conditions for chase termination. in this paper, we present two new acyclicity notions called model-faithful acyclicity (mfa) and model-summarising acyclicity (msa). furthermore, we investigate the landscape of the known acyclicity notions and establish a complete taxonomy of all notions known to us. finally, we show that mfa and msa generalise most of these notions. existential rules are closely related to the horn fragments of the owl 2 ontology language; furthermore, several prominent owl 2 reasoners implement cq answering by using the chase to materialise all relevant facts. in order to avoid termination problems, many of these systems handle only the owl 2 rl profile of owl 2; furthermore, some systems go beyond owl 2 rl, but without any termination guarantees. in this paper we also investigate whether various acyclicity notions can provide a principled and practical solution to these problems. on the theoretical side, we show that query answering for acyclic ontologies is of lower complexity than for general ontologies. on the practical side, we show that many of the commonly used owl 2 ontologies are msa, and that the number of facts obtained by materialisation is not too large. our results thus suggest that principled development of materialisation-based owl 2 reasoners is practically feasible.",2013
a decidable extension of sroiq with complex role chains and unions,"we design a decidable extension of the description logic sroiq underlying the web ontology language owl 2. the new logic, called sr+oiq, supports a controlled use of role axioms whose right-hand side may contain role chains or role unions. we give a tableau algorithm for checking concept satisfiability with respect to sr+oiq ontologies and prove its soundness, completeness and termination.",2013
"framing image description as a ranking task: data, models and evaluation metrics","the ability to associate images with natural language sentences that describe what is depicted in them is a hallmark of image understanding, and a prerequisite for applications such as sentence-based image search. in analogy to image search, we propose to frame sentence-based image annotation as the task of ranking a given pool of captions. we introduce a new benchmark collection for sentence-based image description and search, consisting of 8,000 images that are each paired with five different captions which provide clear descriptions of the salient entities and events. we introduce a number of systems that perform quite well on this task, even though they are only based on features that can be obtained with minimal supervision. our results clearly indicate the importance of training on multiple captions per image, and of capturing syntactic (word order-based) and semantic features of these captions. we also perform an in-depth comparison of human and automatic evaluation metrics for this task, and propose strategies for collecting human judgments cheaply and on a very large scale, allowing us to augment our collection with additional relevance judgments of which captions describe which image. our analysis shows that metrics that consider the ranked list of results for each query image or sentence are significantly more robust than metrics that are based on a single response per query. moreover, our study suggests that the evaluation of ranking-based image description systems may be fully automated.",2013
short and long supports for constraint propagation,"special-purpose constraint propagation algorithms frequently make implicit use of short supports -- by examining a subset of the variables, they can infer support (a justification that a variable-value pair may still form part of an assignment that satisfies the constraint) for all other variables and values and save substantial work -- but short supports have not been studied in their own right. the two main contributions of this paper are the identification of short supports as important for constraint propagation, and the introduction of haggisgac, an efficient and effective general purpose propagation algorithm for exploiting short supports. given the complexity of haggisgac, we present it as an optimised version of a simpler algorithm shortgac. although experiments demonstrate the efficiency of shortgac compared with other general-purpose propagation algorithms where a compact set of short supports is available, we show theoretically and experimentally that haggisgac is even better. we also find that haggisgac performs better than gac-schema on full-length supports. we also introduce a variant algorithm haggisgac-stable, which is adapted to avoid work on backtracking and in some cases can be faster and have significant reductions in memory use. all the proposed algorithms are excellent for propagating disjunctions of constraints. in all experiments with disjunctions we found our algorithms to be faster than constructive or and gac-schema by at least an order of magnitude, and up to three orders of magnitude.",2013
optimal rectangle packing: an absolute placement approach,"we consider the problem of finding all enclosing rectangles of minimum area that can contain a given set of rectangles without overlap. our rectangle packer chooses the x-coordinates of all the rectangles before any of the y-coordinates. we then transform the problem into a perfect-packing problem with no empty space by adding additional rectangles. to determine the y-coordinates, we branch on the different rectangles that can be placed in each empty position. our packer allows us to extend the known solutions for a consecutive-square benchmark from 27 to 32 squares. we also introduce three new benchmarks, avoiding properties that make a benchmark easy, such as rectangles with shared dimensions. our third benchmark consists of rectangles of increasingly high precision. to pack them efficiently, we limit the rectangles' coordinates and the bounding box dimensions to the set of subset sums of the rectangles' dimensions. overall, our algorithms represent the current state-of-the-art for this problem, outperforming other algorithms by orders of magnitude, depending on the benchmark.",2013
automatic aggregation by joint modeling of aspects and values,"we present a model for aggregation of product review snippets by joint aspect identification and sentiment analysis. our model simultaneously identifies an underlying set of ratable aspects presented in the reviews of a product (e.g., sushi and miso for a japanese restaurant) and determines the corresponding sentiment of each aspect. this approach directly enables discovery of highly-rated or inconsistent aspects of a product. our generative model admits an efficient variational mean-field inference algorithm. it is also easily extensible, and we describe several modifications and their effects on model structure and inference. we test our model on two tasks, joint aspect identification and sentiment analysis on a set of yelp reviews and aspect identification alone on a set of medical summaries. we evaluate the performance of the model on aspect identification, sentiment analysis, and per-word labeling accuracy. we demonstrate that our model outperforms applicable baselines by a considerable margin, yielding up to 32% relative error reduction on aspect identification and up to 20% relative error reduction on sentiment analysis.",2013
undominated groves mechanisms,"the family of groves mechanisms, which includes the well-known vcg mechanism (also known as the clarke mechanism), is a family of efficient and strategy-proof mechanisms. unfortunately, the groves mechanisms are generally not budget balanced. that is, under such mechanisms, payments may flow into or out of the system of the agents, resulting in deficits or reduced utilities for the agents. we consider the following problem: within the family of groves mechanisms, we want to identify mechanisms that give the agents the highest utilities, under the constraint that these mechanisms must never incur deficits. we adopt a prior-free approach. we introduce two general measures for comparing mechanisms in prior-free settings. we say that a non-deficit groves mechanism m individually dominates another non-deficit groves mechanism m' if for every type profile, every agent's utility under m is no less than that under m', and this holds with strict inequality for at least one type profile and one agent. we say that a non-deficit groves mechanism m collectively dominates another non-deficit groves mechanism m' if for every type profile, the agents' total utility under m is no less than that under m', and this holds with strict inequality for at least one type profile. the above definitions induce two partial orders on non-deficit groves mechanisms. we study the maximal elements corresponding to these two partial orders, which we call the individually undominated mechanisms and the collectively undominated mechanisms, respectively.",2013
generating extractive summaries of scientific paradigms,"researchers and scientists increasingly find themselves in the position of having to quickly understand large amounts of technical material. our goal is to effectively serve this need by using bibliometric text mining and summarization techniques to generate summaries of scientific literature. we show how we can use citations to produce automatically generated, readily consumable, technical extractive summaries. we first propose c-lexrank, a model for summarizing single scientific articles based on citations, which employs community detection and extracts salient information-rich sentences. next, we further extend our experiments to summarize a set of papers, which cover the same scientific topic. we generate extractive summaries of a set of question answering (qa) and dependency parsing (dp) papers, their abstracts, and their citation sentences and show that citations have unique information amenable to creating a summary.",2013
integrative semantic dependency parsing via efficient large-scale feature selection,"semantic parsing, i.e., the automatic derivation of meaning representation such as an instantiated predicate-argument structure for a sentence, plays a critical role in deep processing of natural language. unlike all other top systems of semantic dependency parsing that have to rely on a pipeline framework to chain up a series of submodels each specialized for a specific subtask, the one presented in this article integrates everything into one model, in hopes of achieving desirable integrity and practicality for real applications while maintaining a competitive performance. this integrative approach tackles semantic parsing as a word pair classification problem using a maximum entropy classifier. we leverage adaptive pruning of argument candidates and large-scale feature selection engineering to allow the largest feature space ever in use so far in this field, it achieves a state-of-the-art performance on the evaluation data set for conll-2008 shared task, on top of all but one top pipeline system, confirming its feasibility and effectiveness.",2013
toward supervised anomaly detection,"anomaly detection is being regarded as an unsupervised learning task as anomalies stem from adversarial or unlikely events with unknown distributions. however, the predictive performance of purely unsupervised anomaly detection often fails to match the required detection rates in many tasks and there exists a need for labeled data to guide the model generation. our first contribution shows that classical semi-supervised approaches, originating from a supervised classifier, are inappropriate and hardly detect new and unknown anomalies. we argue that semi-supervised anomaly detection needs to ground on the unsupervised learning paradigm and devise a novel algorithm that meets this requirement. although being intrinsically non-convex, we further show that the optimization problem has a convex equivalent under relatively mild assumptions. additionally, we propose an active learning strategy to automatically filter candidates for labeling. in an empirical study on network intrusion detection data, we observe that the proposed learning methodology requires much less labeled data than the state-of-the-art, while achieving higher detection accuracies.",2013
parameterized complexity results for exact bayesian network structure learning,"bayesian network structure learning is the notoriously difficult problem of discovering a bayesian network that optimally represents a given set of training data. in this paper we study the computational worst-case complexity of exact bayesian network structure learning under graph theoretic restrictions on the (directed) super-structure. the super-structure is an undirected graph that contains as subgraphs the skeletons of solution networks. we introduce the directed super-structure as a natural generalization of its undirected counterpart. our results apply to several variants of score-based bayesian network structure learning where the score of a network decomposes into local scores of its nodes. results: we show that exact bayesian network structure learning can be carried out in non-uniform polynomial time if the super-structure has bounded treewidth, and in linear time if in addition the super-structure has bounded maximum degree. furthermore, we show that if the directed super-structure is acyclic, then exact bayesian network structure learning can be carried out in quadratic time. we complement these positive results with a number of hardness results. we show that both restrictions (treewidth and degree) are essential and cannot be dropped without loosing uniform polynomial time tractability (subject to a complexity-theoretic assumption). similarly, exact bayesian network structure learning remains np-hard for ""almost acyclic"" directed super-structures. furthermore, we show that the restrictions remain essential if we do not search for a globally optimal network but aim to improve a given network by means of at most k arc additions, arc deletions, or arc reversals (k-neighborhood local search).",2013
boolean equi-propagation for concise and efficient sat encodings of combinatorial problems,"we present an approach to propagation-based sat encoding of combinatorial problems, boolean equi-propagation, where constraints are modeled as boolean functions which propagate information about equalities between boolean literals. this information is then applied to simplify the cnf encoding of the constraints. a key factor is that considering only a small fragment of a constraint model at one time enables us to apply stronger, and even complete, reasoning to detect equivalent literals in that fragment. once detected, equivalences apply to simplify the entire constraint model and facilitate further reasoning on other fragments. equi-propagation in combination with partial evaluation and constraint simplification provide the foundation for a powerful approach to sat-based finite domain constraint solving. we introduce a tool called bee (ben-gurion equi-propagation encoder) based on these ideas and demonstrate for a variety of benchmarks that our approach leads to a considerable reduction in the size of cnf encodings and subsequent speed-ups in sat solving times.",2013
a hybrid lp-rpg heuristic for modelling numeric resource flows in planning,"although the use of metric fluents is fundamental to many practical planning problems, the study of heuristics to support fully automated planners working with these fluents remains relatively unexplored. the most widely used heuristic is the relaxation of metric fluents into interval-valued variables --- an idea first proposed a decade ago. other heuristics depend on domain encodings that supply additional information about fluents, such as capacity constraints or other resource-related annotations. a particular challenge to these approaches is in handling interactions between metric fluents that represent exchange, such as the transformation of quantities of raw materials into quantities of processed goods, or trading of money for materials. the usual relaxation of metric fluents is often very poor in these situations, since it does not recognise that resources, once spent, are no longer available to be spent again. we present a heuristic for numeric planning problems building on the propositional relaxed planning graph, but using a mathematical program for numeric reasoning. we define a class of producer--consumer planning problems and demonstrate how the numeric constraints in these can be modelled in a mixed integer program (mip). this mip is then combined with a metric relaxed planning graph (rpg) heuristic to produce an integrated hybrid heuristic. the mip tracks resource use more accurately than the usual relaxation, but relaxes the ordering of actions, while the rpg captures the causal propositional aspects of the problem. we discuss how these two components interact to produce a single unified heuristic and go on to explore how further numeric features of planning problems can be integrated into the mip. we show that encoding a limited subset of the propositional problem to augment the mip can yield more accurate guidance, partly by exploiting structure such as propositional landmarks and propositional resources. our results show that the use of this heuristic enhances scalability on problems where numeric resource interaction is key in finding a solution.",2013
qualitative order of magnitude energy-flow-based failure modes and effects analysis,"this paper presents a structured power and energy-flow-based qualitative modelling approach that is applicable to a variety of system types including electrical and fluid flow. the modelling is split into two parts. power flow is a global phenomenon and is therefore naturally represented and analysed by a network comprised of the relevant structural elements from the components of a system. the power flow analysis is a platform for higher-level behaviour prediction of energy related aspects using local component behaviour models to capture a state-based representation with a global time. the primary application is failure modes and effects analysis (fmea) and a form of exaggeration reasoning is used, combined with an order of magnitude representation to derive the worst case failure modes. the novel aspects of the work are an order of magnitude(om) qualitative network analyser to represent any power domain and topology, including multiple power sources, a feature that was not required for earlier specialised electrical versions of the approach. secondly, the representation of generalised energy related behaviour as state-based local models is presented as a modelling strategy that can be more vivid and intuitive for a range of topologically complex applications than qualitative equation-based representations.the two-level modelling strategy allows the broad system behaviour coverage of qualitative simulation to be exploited for the fmea task, while limiting the difficulties of qualitative ambiguity explanation that can arise from abstracted numerical models. we have used the method to support an automated fmea system with examples of an aircraft fuel system and domestic a heating system discussed in this paper.",2013
incremental clustering and expansion for faster optimal planning in dec-pomdps,"this article presents the state-of-the-art in optimal solution methods for decentralized partially observable markov decision processes (dec-pomdps), which are general models for collaborative multiagent planning under uncertainty. building off the generalized multiagent a* (gmaa*) algorithm, which reduces the problem to a tree of one-shot collaborative bayesian games (cbgs), we describe several advances that greatly expand the range of dec-pomdps that can be solved optimally. first, we introduce lossless incremental clustering of the cbgs solved by gmaa*, which achieves exponential speedups without sacrificing optimality. second, we introduce incremental expansion of nodes in the gmaa* search tree, which avoids the need to expand all children, the number of which is in the worst case doubly exponential in the node's depth. this is particularly beneficial when little clustering is possible. in addition, we introduce new hybrid heuristic representations that are more compact and thereby enable the solution of larger dec-pomdps. we provide theoretical guarantees that, when a suitable heuristic is used, both incremental clustering and incremental expansion yield algorithms that are both complete and search equivalent. finally, we present extensive empirical results demonstrating that gmaa*-ice, an algorithm that synthesizes these advances, can optimally solve dec-pomdps of unprecedented size.",2013
probabilistic planning for continuous dynamic systems under bounded risk,"this paper presents a model-based planner called the probabilistic sulu planner or the p-sulu planner, which controls stochastic systems in a goal directed manner within user-specified risk bounds. the objective of the p-sulu planner is to allow users to command continuous, stochastic systems, such as unmanned aerial and space vehicles, in a manner that is both intuitive and safe. to this end, we first develop a new plan representation called a chance-constrained qualitative state plan (ccqsp), through which users can specify the desired evolution of the plant state as well as the acceptable level of risk. an example of a ccqsp statement is ``go to a through b within 30 minutes, with less than 0.001% probability of failure."" we then develop the p-sulu planner, which can tractably solve a ccqsp planning problem. in order to enable ccqsp planning, we develop the following two capabilities in this paper: 1) risk-sensitive planning with risk bounds, and 2) goal-directed planning in a continuous domain with temporal constraints. the first capability is to ensures that the probability of failure is bounded. the second capability is essential for the planner to solve problems with a continuous state space such as vehicle path planning. we demonstrate the capabilities of the p-sulu planner by simulations on two real-world scenarios: the path planning and scheduling of a personal aerial vehicle as well as the space rendezvous of an autonomous cargo spacecraft.",2013
predicting behavior in unstructured bargaining with a probability distribution,"in experimental tests of human behavior in unstructured bargaining games, typically many joint utility outcomes are found to occur, not just one. this suggests we predict the outcome of such a game as a probability distribution. this is in contrast to what is conventionally done (e.g, in the nash bargaining solution), which is predict a single outcome. we show how to translate nash's bargaining axioms to provide a distribution over outcomes rather than a single outcome. we then prove that a subset of those axioms forces the distribution over utility outcomes to be a power-law distribution. unlike nash's original result, our result holds even if the feasible set is finite. when the feasible set is convex and comprehensive, the mode of the power law distribution is the harsanyi bargaining solution, and if we require symmetry it is the nash bargaining solution. however, in general these modes of the joint utility distribution are not the experimentalist's bayes-optimal predictions for the joint utility. nor are the bargains corresponding to the modes of those joint utility distributions the modes of the distribution over bargains in general, since more than one bargain may result in the same joint utility. after introducing distributional bargaining solution concepts, we show how an external regulator can use them to optimally design an unstructured bargaining scenario. throughout we demonstrate our analysis in computational experiments involving flight rerouting negotiations in the national airspace system. we emphasize that while our results are formulated for unstructured bargaining, they can also be used to make predictions for noncooperative games where the modeler knows the utility functions of the players over possible outcomes of the game, but does not know the move spaces the players use to determine those outcomes.",2013
efficient computation of the shapley value for game-theoretic network centrality,"the shapley value---probably the most important normative payoff division scheme in coalitional games---has recently been advocated as a useful measure of centrality in networks. however, although this approach has a variety of real-world applications (including social and organisational networks, biological networks and communication networks), its computational properties have not been widely studied. to date, the only practicable approach to compute shapley value-based centrality has been via monte carlo simulations which are computationally expensive and not guaranteed to give an exact answer. against this background, this paper presents the first study of the computational aspects of the shapley value for network centralities. specifically, we develop exact analytical formulae for shapley value-based centrality in both weighted and unweighted networks and develop efficient (polynomial time) and exact algorithms based on them. we empirically evaluate these algorithms on two real-life examples (an infrastructure network representing the topology of the western states power grid and a collaboration network from the field of astrophysics) and demonstrate that they deliver significant speedups over the monte carlo approach. for instance, in the case of unweighted networks our algorithms are able to return the exact solution about 1600 times faster than the monte carlo approximation, even if we allow for a generous 10% error margin for the latter method.",2013
description logic knowledge and action bases,"description logic knowledge and action bases (kab) are a mechanism for providing both a semantically rich representation of the information on the domain of interest in terms of a description logic knowledge base and actions to change such information over time, possibly introducing new objects. we resort to a variant of dl-lite where the unique name assumption is not enforced and where equality between objects may be asserted and inferred. actions are specified as sets of conditional effects, where conditions are based on epistemic queries over the knowledge base (tbox and abox), and effects are expressed in terms of new aboxes. in this setting, we address verification of temporal properties expressed in a variant of first-order mu-calculus with quantification across states. notably, we show decidability of verification, under a suitable restriction inspired by the notion of weak acyclicity in data exchange.",2013
numvc: an efficient local search algorithm for minimum vertex cover,"the minimum vertex cover (mvc) problem is a prominent np-hard combinatorial optimization problem of great importance in both theory and application. local search has proved successful for this problem. however, there are two main drawbacks in state-of-the-art mvc local search algorithms. first, they select a pair of vertices to exchange simultaneously, which is time-consuming. secondly, although using edge weighting techniques to diversify the search, these algorithms lack mechanisms for decreasing the weights. to address these issues, we propose two new strategies: two-stage exchange and edge weighting with forgetting. the two-stage exchange strategy selects two vertices to exchange separately and performs the exchange in two stages. the strategy of edge weighting with forgetting not only increases weights of uncovered edges, but also decreases some weights for each edge periodically. these two strategies are used in designing a new mvc local search algorithm, which is referred to as numvc. we conduct extensive experimental studies on the standard benchmarks, namely dimacs and bhoslib. the experiment comparing numvc with state-of-the-art heuristic algorithms show that numvc is at least competitive with the nearest competitor namely pls on the dimacs benchmark, and clearly dominates all competitors on the bhoslib benchmark. also, experimental results indicate that numvc finds an optimal solution much faster than the current best exact algorithm for maximum clique on random instances as well as some structured ones. moreover, we study the effectiveness of the two strategies and the run-time behaviour through experimental analysis.",2013
interactions between knowledge and time in a first-order logic for multi-agent systems: completeness results,"we investigate a class of first-order temporal-epistemic logics for reasoning about multi-agent systems. we encode typical properties of systems including perfect recall, synchronicity, no learning, and having a unique initial state in terms of variants of quantified interpreted systems, a first-order extension of interpreted systems. we identify several monodic fragments of first-order temporal-epistemic logic and show their completeness with respect to their corresponding classes of quantified interpreted systems.",2012
the tractability of csp classes defined by forbidden patterns,"the constraint satisfaction problem (csp) is a general problem central to computer science and artificial intelligence. although the csp is np-hard in general, considerable effort has been spent on identifying tractable subclasses. the main two approaches consider structural properties (restrictions on the hypergraph of constraint scopes) and relational properties (restrictions on the language of constraint relations). recently, some authors have considered hybrid properties that restrict the constraint hypergraph and the relations simultaneously. our key contribution is the novel concept of a csp pattern and classes of problems defined by forbidden patterns (which can be viewed as forbidding generic sub-problems). we describe the theoretical framework which can be used to reason about classes of problems defined by forbidden patterns. we show that this framework generalises certain known hybrid tractable classes. although we are not close to obtaining a complete characterisation concerning the tractability of general forbidden patterns, we prove a dichotomy in a special case: classes of problems that arise when we can only forbid binary negative patterns (generic sub-problems in which only disallowed tuples are specified). in this case we show that all (finite sets of) forbidden patterns define either polynomial-time solvable or np-complete classes of instances.",2012
an approximative inference method for solving so satisfiability problems,"this paper considers the fragment &#8707;&#8704;so of second-order logic. many interesting problems, such as conformant planning, can be naturally expressed as finite domain satisfiability problems of this logic. such satisfiability problems are computationally hard (&#931;p2) and many of these problems are often solved approximately. in this paper, we develop a general approximative method, i.e., a sound but incomplete method, for solving &#8707;&#8704;so satisfiability problems. we use a syntactic representation of a constraint propagation method for first-order logic to transform such an &#8707;&#8704;so satisfiability problem to an &#8707;so(id) satisfiability problem (second-order logic, extended with inductive definitions). the finite domain satisfiability problem for the latter language is in np and can be handled by several existing solvers. inductive definitions are a powerful knowledge representation tool, and this moti- vates us to also approximate &#8707;&#8704;so(id) problems. in order to do this, we first show how to perform propagation on such inductive definitions. next, we use this to approximate &#8707;&#8704;so(id) satisfiability problems. all this provides a general theoretical framework for a number of approximative methods in the literature. moreover, we also show how we can use this framework for solving practical useful problems, such as conformant planning, in an effective way.",2012
towards unsupervised learning of temporal relations between events,"automatic extraction of temporal relations between event pairs is an important task for several natural language processing applications such as question answering, information extraction, and summarization. since most existing methods are supervised and require large corpora, which for many languages do not exist, we have concentrated our efforts to reduce the need for annotated data as much as possible. this paper presents two different algorithms towards this goal. the first algorithm is a weakly supervised machine learning approach for classification of temporal relations between events. in the first stage, the algorithm learns a general classifier from an annotated corpus. then, inspired by the hypothesis of ""one type of temporal relation per discourse'', it extracts useful information from a cluster of topically related documents. we show that by combining the global information of such a cluster with local decisions of a general classifier, a bootstrapping cross-document classifier can be built to extract temporal relations between events. our experiments show that without any additional annotated data, the accuracy of the proposed algorithm is higher than that of several previous successful systems. the second proposed method for temporal relation extraction is based on the expectation maximization (em) algorithm. within em, we used different techniques such as a greedy best-first search and integer linear programming for temporal inconsistency removal. we think that the experimental results of our em based algorithm, as a first step toward a fully unsupervised temporal relation extraction method, is encouraging.",2012
coalition structure generation over graphs,"we give the analysis of the computational complexity of coalition structure generation over graphs. given an undirected graph g = (n,e) and a valuation function v : p(n) &#8594; r over the subsets of nodes, the problem is to find a partition of n into connected subsets, that maximises the sum of the components values. this problem is generally npcomplete; in particular, it is hard for a defined class of valuation functions which are independent of disconnected membersthat is, two nodes have no effect on each others marginal con- tribution to their vertex separator. nonetheless, for all such functions we provide bounds on the complexity of coalition structure generation over general and minorfree graphs. our proof is constructive and yields algorithms for solving corresponding instances of the problem. furthermore, we derive linear time bounds for graphs of bounded treewidth. however, as we show, the problem remains npcomplete for planar graphs, and hence, for any k_k minorfree graphs where k &#8805; 5. moreover, a 3-sat problem with m clauses can be represented by a coalition structure generation problem over a planar graph with o(m^2) nodes. importantly, our hardness result holds for a particular subclass of valuation functions, termed edge sum, where the value of each subset of nodes is simply determined by the sum of given weights of the edges in the induced subgraph.",2012
reasoning over ontologies with hidden content: the import-by-query approach,"there is currently a growing interest in techniques for hiding parts of the signature of an ontology kh that is being reused by another ontology kv. towards this goal, in this paper we propose the import-by-query framework, which makes the content of kh accessible through a limited query interface. if kv reuses the symbols from kh in a certain restricted way, one can reason over kv u kh by accessing only kv and the query interface. we map out the landscape of the import-by-query problem. in particular, we outline the limitations of our framework and prove that certain restrictions on the expressivity of kh and the way in which kv reuses symbols from kh are strictly necessary to enable reasoning in our setting. we also identify cases in which reasoning is possible and we present suitable import-by-query reasoning algorithms.",2012
generating approximate solutions to the ttp using a linear distance relaxation,"in some domestic professional sports leagues, the home stadiums are located in cities connected by a common train line running in one direction. for these instances, we can incorporate this geographical information to determine optimal or nearly-optimal solutions to the n-team traveling tournament problem (ttp), an np-hard sports scheduling problem whose solution is a double round-robin tournament schedule that minimizes the sum total of distances traveled by all n teams. we introduce the linear distance traveling tournament problem (ld-ttp), and solve it for n=4 and n=6, generating the complete set of possible solutions through elementary combinatorial techniques. for larger n, we propose a novel ""expander construction"" that generates an approximate solution to the ld-ttp. for n congruent to 4 modulo 6, we show that our expander construction produces a feasible double round-robin tournament schedule whose total distance is guaranteed to be no worse than 4/3 times the optimal solution, regardless of where the n teams are located. this 4/3-approximation for the ld-ttp is stronger than the currently best-known ratio of 5/3 + epsilon for the general ttp. we conclude the paper by applying this linear distance relaxation to general (non-linear) n-team ttp instances, where we develop fast approximate solutions by simply ""assuming"" the n teams lie on a straight line and solving the modified problem. we show that this technique surprisingly generates the distance-optimal tournament on all benchmark sets on 6 teams, as well as close-to-optimal schedules for larger n, even when the teams are located around a circle or positioned in three-dimensional space.",2012
removing redundant messages in n-ary bnb-adopt,"this note considers how to modify bnb-adopt, a well-known algorithm for optimally solving distributed constraint optimization problems, with a double aim: (i) to avoid sending most of the redundant messages and (ii) to handle cost functions of any arity. some of the messages exchanged by bnb-adopt turned out to be redundant. removing most of the redundant messages increases substantially communication efficiency: the number of exchanged messages is - in most cases - at least three times fewer (keeping the other measures almost unchanged), and termination and optimality are maintained. on the other hand, handling n-ary cost functions was addressed in the original work, but the presence of thresholds makes their practical usage more complex. both issues - removing most of the redundant messages and efficiently handling n-ary cost functions - can be combined, producing the new version bnb-adopt+. experimentally, we show the benefits of this version over the original one.",2012
a tutorial on dual decomposition and lagrangian relaxation for inference in natural language processing,"dual decomposition, and more generally lagrangian relaxation, is a classical method for combinatorial optimization; it has recently been applied to several inference problems in natural language processing (nlp). this tutorial gives an overview of the technique. we describe example algorithms, describe formal guarantees for the method, and describe practical issues in implementing the algorithms. while our examples are predominantly drawn from the nlp literature, the material should be of general relevance to inference problems in machine learning. a central theme of this tutorial is that lagrangian relaxation is naturally applied in conjunction with a broad class of combinatorial algorithms, allowing inference in models that go significantly beyond previous work on lagrangian relaxation for inference in graphical models.",2012
transforming graph data for statistical relational learning,"relational data representations have become an increasingly important topic due to the recent proliferation of network datasets (e.g., social, biological, information networks) and a corresponding increase in the application of statistical relational learning (srl) algorithms to these domains. in this article, we examine and categorize techniques for transforming graph-based relational data to improve srl algorithms. in particular, appropriate transformations of the nodes, links, and/or features of the data can dramatically affect the capabilities and results of srl algorithms. we introduce an intuitive taxonomy for data representation transformations in relational domains that incorporates link transformation and node transformation as symmetric representation tasks. more specifically, the transformation tasks for both nodes and links include (i) predicting their existence, (ii) predicting their label or type, (iii) estimating their weight or importance, and (iv) system- atically constructing their relevant features. we motivate our taxonomy through detailed examples and use it to survey competing approaches for each of these tasks. we also dis- cuss general conditions for transforming links, nodes, and features. finally, we highlight challenges that remain to be addressed.",2012
a new look at bdds for pseudo-boolean constraints,"pseudo-boolean constraints are omnipresent in practical applications, and thus a significant effort has been devoted to the development of good sat encoding techniques for them. some of these encodings first construct a binary decision diagram (bdd) for the constraint, and then encode the bdd into a propositional formula. these bdd-based approaches have some important advantages, such as not being dependent on the size of the coefficients, or being able to share the same bdd for representing many constraints. we first focus on the size of the resulting bdds, which was considered to be an open problem in our research community. we report on previous work where it was proved that there are pseudo-boolean constraints for which no polynomial bdd exists. we also give an alternative and simpler proof assuming that np is different from co-np. more interestingly, here we also show how to overcome the possible exponential blowup of bdds by \emph{coefficient decomposition}. this allows us to give the first polynomial generalized arc-consistent robdd-based encoding for pseudo-boolean constraints. finally, we focus on practical issues: we show how to efficiently construct such robdds, how to encode them into sat with only 2 clauses per node, and present experimental results that confirm that our approach is competitive with other encodings and state-of-the-art pseudo-boolean solvers.",2012
